root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
15:46:46.822205 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 26528:26700, ack 1, win 501, length 172
15:46:46.822363 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 26700:26872, ack 1, win 501, length 172
15:46:46.822490 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 26872:27044, ack 1, win 501, length 172
15:46:46.822616 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 27044:27216, ack 1, win 501, length 172
15:46:46.822756 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 27216:27388, ack 1, win 501, length 172
15:46:46.822882 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 27388:27560, ack 1, win 501, length 172
15:46:46.822995 IP 24-212-207-43.cable.teksavvy.com.51275 > 138.197.151.74.ssh: Flags [.], ack 16220, win 18769, length 0
15:46:46.823097 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 27560:27732, ack 1, win 501, length 172
15:46:46.823251 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 27732:28032, ack 1, win 501, length 300
15:46:46.823381 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 28032:28204, ack 1, win 501, length 172
15:46:46.823507 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 28204:28376, ack 1, win 501, length 172
15:46:46.823734 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 28376:28548, ack 1, win 501, length 172
15:46:46.823868 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 28548:28720, ack 1, win 501, length 172
15:46:46.823995 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 28720:28892, ack 1, win 501, length 172
15:46:46.824172 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 28892:29064, ack 1, win 501, length 172
15:46:46.824308 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 29064:29236, ack 1, win 501, length 172
15:46:46.824441 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 29236:29408, ack 1, win 501, length 172
15:46:46.824568 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 29408:29580, ack 1, win 501, length 172
15:46:46.824656 IP 24-212-207-43.cable.teksavvy.com.51275 > 138.197.151.74.ssh: Flags [.], ack 19004, win 18774, length 0
